Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"395177431112",SPECIAL PROJECTS SP-25 UHF RECEIVER 16 CHANNELS 682-697 MHz,,,"3","FIXED_PRICE","GBP",27.0,,,27.0,"0","1","0","Feb-02-24 14:44:10 PST","Aug-02-26 14:44:10 PDT","Mixers","4785","","","Used","","","","","","UK","","",""
"395180551364",HSC ELITE LED WORK LIGHT TWIN HEAD 110V 50W RETRACTABLE TRIPOD 11000 LUMENS,,,"1","FIXED_PRICE","GBP",89.99,,,89.99,"0","1","0","Feb-04-24 04:58:08 PST","Aug-04-26 04:58:08 PDT","Torches & Work Lights","126393","","","Used","","","","","","UK","","",""
"395183267674","Black & Decker (5923) Type 1 3/8"" Hammer-Gun Drill 0-1850RPM",,,"1","FIXED_PRICE","GBP",17.99,,,17.99,"0","0","","Feb-05-24 14:07:36 PST","Aug-05-26 14:07:36 PDT","Drills, Braces & Bits","13872","","","Used","","","","","","UK","","",""
"395183269298",PANASONIC EY 6281 CRKW 9.6v Cordless Drill,,,"1","FIXED_PRICE","GBP",17.99,,,17.99,"0","0","","Feb-05-24 14:09:02 PST","Aug-05-26 14:09:02 PDT","Batteries & Chargers","20794","","","Used","","","","","","UK","","",""
"395183270395",SKIL PROFESSIONAL 2535H1,,,"1","FIXED_PRICE","GBP",17.99,,,17.99,"0","","","Feb-05-24 14:10:39 PST","Aug-05-26 14:10:39 PDT","Corded Drills","184654","","","Used","","","","","","UK","","",""
"395185307163",CV JOINT MITSIBISHI SHOGUN 2000 -2007 JR556,,,"1","FIXED_PRICE","GBP",34.99,,,34.99,"0","","","Feb-06-24 14:43:18 PST","Aug-06-26 14:43:18 PDT","CV Joints, Boots & Parts","33729","","","New","","","","","","UK","","",""
"395185309251",CV JOINT MITSUBISHI SHOGUN 3.2 2000 - 2007 JR556 FITTED NOT USED,,,"1","FIXED_PRICE","GBP",29.99,,,29.99,"0","1","","Feb-06-24 14:46:12 PST","Aug-06-26 14:46:12 PDT","CV Joints, Boots & Parts","33729","","","Used","","","","","","UK","","",""
"395185325172",TJ Filters QFC0405 Cabin Filter,,,"1","FIXED_PRICE","GBP",13.5,,,13.5,"0","","","Feb-06-24 15:02:07 PST","Aug-06-26 15:02:07 PDT","Pollen Filters","61117","","","New other (see details)","","","","","","UK","","5050438443509",""
"395185330620",TJ Filters QFC0118 Cabin Filter PARTICULATE FILTER,,,"1","FIXED_PRICE","GBP",12.99,,,12.99,"0","0","","Feb-06-24 15:07:45 PST","Aug-06-26 15:07:45 PDT","Pollen Filters","61117","","","New other (see details)","","","","","249738125","UK","","",""
"395190333060",Official Heritage Land Range Rover Darien Trans-Americas Blue iPhone 7 Plus Case,,,"1","FIXED_PRICE","GBP",11.99,,,11.99,"0","0","","Feb-09-24 05:44:16 PST","Aug-09-26 05:44:16 PDT","Cases, Covers & Skins","20349","","","New","","","","","","UK","","0712265008560",""
"395192173372",VINTAGE DRAPER M6250 SAW SETTING PLIERS,,,"1","FIXED_PRICE","GBP",25.0,,,25.0,"0","","","Feb-10-24 02:07:07 PST","Aug-10-26 02:07:07 PDT","Hand Tool Sets","23782","","","Used","","","","","","UK","","",""
"395197360119",iPIN SPATIAL RULER PLUGS IN IPHONE JACK TO MEASURE SPACES WITH LASER ACCURACY i,,,"12","FIXED_PRICE","GBP",24.99,,,24.99,"0","2","","Feb-12-24 12:57:20 PST","Aug-12-26 12:57:20 PDT","Laser Measuring Tools","126396","","","New","","","","","","UK","","",""
"395201505404","Delphi BG3895C Brake Discs Focus, C-Max, Kuga, Volvo C30,",,,"1","FIXED_PRICE","GBP",54.0,,,54.0,"0","0","","Feb-14-24 14:27:04 PST","Aug-14-26 14:27:04 PDT","Brake Disc Rotors","33564","","","New","","","","","249304874","UK","","",""
"395201539732",Genuine Ford Transit Connect 02-13 OS Mirror Glass 4440212 NOS Genuine Ford,,,"1","FIXED_PRICE","GBP",25.0,,,25.0,"0","0","","Feb-14-24 14:56:06 PST","Aug-14-26 14:56:06 PDT","Mirror Glass","262163","","","New","","","","","","UK","","",""
"395202753023",LL1153 TRANSIT REAR COMBINATION LAMP ONLY PASSENGER SIDE LH W/OUT BULB HOLDER,,,"1","FIXED_PRICE","GBP",14.99,,,14.99,"0","","","Feb-15-24 04:13:26 PST","Aug-15-26 04:13:26 PDT","Rear Lights","57322","","","New","","","","","","UK","","",""
"395202943059",Delphi LP1958 Rear Brake Pads Set Fits Vauxhall Vectra Signum Ford Jaguar Volvo,,,"1","FIXED_PRICE","GBP",24.99,,,24.99,"0","0","","Feb-15-24 06:08:22 PST","Aug-15-26 06:08:22 PDT","Brake Pads","57357","","","New","","","","","249194612","UK","","",""
"395203082967",MANN Genuine Replacement Fuel filter WK829/3 FORD JAGUAR SSANGYONG,,,"2","FIXED_PRICE","GBP",14.99,,,14.99,"0","1","","Feb-15-24 07:40:52 PST","Aug-15-26 07:40:52 PDT","Fuel Filters","33660","","","New","","","","","248818005","UK","","",""
"395203104634",MANN C17006 Air Filter Ford Fiesta Mazda etc Check Below,,,"1","FIXED_PRICE","GBP",16.99,,,16.99,"0","","","Feb-15-24 07:52:00 PST","Aug-15-26 07:52:00 PDT","Air Filters","33659","","","New","","","","","248702047","UK","","",""
"395203373692",QDW107 RENAULT CLIO MEGANE 3 WIPER BLADES,,,"1","FIXED_PRICE","GBP",18.99,,,18.99,"0","","","Feb-15-24 10:14:59 PST","Aug-15-26 10:14:59 PDT","Wiper Blades & Refills","179852","","","New other (see details)","","","","","","UK","","5050438502633",""
"395203380705",qls3527s stabiliser link,,,"1","FIXED_PRICE","GBP",9.99,,,9.99,"0","","","Feb-15-24 10:20:06 PST","Aug-15-26 10:20:06 PDT","Sway Bars, Links & Bushings","33592","","","New other (see details)","","","","","","UK","","5050438129397",""
"395203386467",QH QSJ3299S SUSPENSION ARM WISHBONE LEFT MERCEDES BENZ,,,"1","FIXED_PRICE","GBP",54.99,,,54.99,"0","","","Feb-15-24 10:26:40 PST","Aug-15-26 10:26:40 PDT","Control Arms, Ball Joints & Assemblies","33580","","","New other (see details)","","","","","","UK","","5016593836105",""
"395203415452","Genuine Toyota Peugeot Citroen Air Filter QFA0348 fits Proace, Expert, C8",,,"1","FIXED_PRICE","GBP",9.99,,,9.99,"0","","","Feb-15-24 10:50:09 PST","Aug-15-26 10:50:09 PDT","Air Filters","33659","","","New","","","","","249234570","UK","","",""
